bar_index,category,label,color,x1,y1_top,x2,y2_bottom,pixel_height,value,baseline_value
0,Hre:evenh,52,#ffffff,270.1414489746094,53.046592712402344,293.2151184082031,264.2162780761719,211.16968536376953,6.75,-0.02
1,Ezero,52,#ffffff,374.03192138671875,62.16326904296875,396.9371337890625,264.2224426269531,202.05917358398438,6.45,-0.02
2,Hre:evenh,52,#ffffff,247.05377197265625,47.129066467285156,270.33135986328125,264.1986083984375,217.06954193115234,6.94,-0.02
3,Hre:evenh,52,#ffffff,224.1114501953125,34.07054138183594,247.214599609375,264.23785400390625,230.1673126220703,7.35,-0.02
4,Reesoss,52,#ffffff,97.01556396484375,94.30792236328125,120.11131286621094,264.26275634765625,169.954833984375,5.42,-0.02
5,Ezero,52,#ffffff,465.96563720703125,100.1341552734375,489.0140075683594,264.23876953125,164.1046142578125,5.24,-0.02
6,Reesoss,52,#ffffff,74.02352905273438,87.99788665771484,97.16091918945312,264.26092529296875,176.2630386352539,5.63,-0.02
7,Hre:evenh,52,#ffffff,293.05035400390625,91.30547332763672,316.1465148925781,264.1669006347656,172.8614273071289,5.52,-0.01
8,Reesoss,52,#ffffff,120.18167114257812,88.04867553710938,143.09982299804688,264.24957275390625,176.20089721679688,5.62,-0.02
9,Ezero,52,#ffffff,443.08319091796875,116.12818908691406,465.92547607421875,264.24505615234375,148.1168670654297,4.73,-0.02
10,Hre:evenh,52,#ffffff,316.1341552734375,83.93394470214844,339.2874755859375,264.2633056640625,180.32936096191406,5.76,-0.02
11,Reesoss,52,#ffffff,166.0117950439453,116.12547302246094,189.2943878173828,264.240478515625,148.11500549316406,4.73,-0.02
12,Ezero,52,#ffffff,397.0211486816406,72.12970733642578,420.0816650390625,264.36639404296875,192.23668670654297,6.13,-0.02
13,Reesoss,52,#ffffff,143.12750244140625,135.12767028808594,166.09439086914062,264.21563720703125,129.0879669189453,4.12,-0.02
14,Ezero,52,#ffffff,420.1485290527344,72.02417755126953,443.0002746582031,264.28631591796875,192.26213836669922,6.14,-0.02
