bar_index,category,label,color,x1,y1_top,x2,y2_bottom,pixel_height,value,baseline_value
0,OE,12,#efefef,212.26760864257812,102.37544250488281,222.04440307617188,172.08612060546875,69.71067810058594,1270399.33,1158848.59
1,1s,12,#efefef,479.0352783203125,43.16012191772461,488.8577880859375,172.1560821533203,128.9959602355957,1365155.44,1158736.63
2,OE,12,#efefef,279.131103515625,91.29633331298828,289.0374450683594,172.03318786621094,80.73685455322266,1288128.07,1158933.29
3,,12,#efefef,112.17762756347656,118.50504302978516,122.08366394042969,172.02455139160156,53.519508361816406,1244588.81,1158947.11
4,OE,12,#efefef,312.3149719238281,78.56183624267578,322.037353515625,172.0941162109375,93.53227996826172,1308505.76,1158835.79
5,,12,#efefef,178.97494506835938,106.431884765625,188.61131286621094,172.1131134033203,65.68122863769531,1263908.22,1158805.39
6,,12,#efefef,79.17356872558594,123.36512756347656,88.37118530273438,172.0296173095703,48.66448974609375,1236811.72,1158939.0
7,1s,12,#efefef,412.9814147949219,51.179969787597656,422.274658203125,172.0680389404297,120.88806915283203,1352322.11,1158877.52
8,1s,12,#efefef,379.0834045410156,56.2545051574707,388.8526611328125,172.03880310058594,115.78429794311523,1344201.86,1158924.3
9,1s,12,#efefef,445.96612548828125,47.087764739990234,455.31756591796875,172.14132690429688,125.05356216430664,1358870.44,1158760.24
10,11s,12,#efefef,346.0233459472656,67.3281021118164,355.57781982421875,172.1541290283203,104.8260269165039,1326481.94,1158739.76
11,,12,#efefef,145.2145233154297,114.3968734741211,154.9192657470703,171.9947052001953,57.59783172607422,1251162.68,1158994.87
12,OE,12,#efefef,246.04364013671875,93.23893737792969,255.48428344726562,172.14163208007812,78.90269470214844,1285019.53,1158759.76
